lesson,segment,timestamp,source,tw content A,tw content A-accuracy,tw content A-naturalness,Notes
1.0,1.0,"00:00:07,200 --> 00:00:09,360","Hello everyone, and a big welcome to Prep.",大家好！歡迎來到 Prep。,70.0,90.0,Big is not translated
1.0,2.0,"00:00:09,800 --> 00:00:12,280",I'm so glad you're here for our basic grammar course.,很高興大家來參加我們的 basic grammar course。,90.0,90.0,Very good
1.0,3.0,"00:00:12,760 --> 00:00:16,120",This is where we're going to build the very foundation you'll need to really,這裡是我們將建立您真正需要的非常基礎的地方,70.0,45.0,This translation is not readable. 
1.0,4.0,"00:00:16,186 --> 00:00:18,360",conquer and master the English language.,征服並掌握英語。,90.0,70.0,"征服 is improper here, and may be replaced with 攻克 only for the purpose of smooth collocation."
1.0,5.0,"00:00:18,880 --> 00:00:22,480","We've got quite a journey ahead of us, and I truly believe that getting to know",我們前方有一段相當漫長的旅程，而我真心相信，透過了解,75.0,50.0,Segment 6 and 7 have some repeated parts of translation (getting to know)
1.0,6.0,"00:00:22,546 --> 00:00:26,840",each other a bit better will make this whole process smoother and more effective.,對彼此有更深入的了解，將使整個過程更加順暢且有效。,75.0,50.0,Split sentence leads to poor readability
1.0,7.0,"00:00:28,440 --> 00:00:32,720","So in this very first video, let's take a little time to do a couple of things.",所以在這支最一開始的影片中，我們花一點時間來做幾件事。,85.0,75.0,Readability is relatively acceptable
1.0,8.0,"00:00:33,080 --> 00:00:36,574","I'll walk you through the goals, the content, and the overall approach",我將引導您了解目標、內容，以及整體的學習方式。,80.0,80.0,"The source meaning can almost be reflected. 
The readability is relatively good 
"
1.0,9.0,"00:00:36,640 --> 00:00:38,340",we'll be taking in this course.,我們將在這個 course 中學習。,60.0,80.0,"我們將在這個 course 中學習 is excessive and should be deleted. 
Segment 9 and 10 shall be combined and translated into: 我將帶大家了解本課程的目標、內容，以及我們將採用的整體教學方法。"
1.0,10.0,"00:00:38,440 --> 00:00:42,214","My hope is that by the end of the session, you'll have a really clear picture of what",我希望在本課程結束時，您能對以下內容有非常清晰的認識：,55.0,80.0,"Segment 11,12 and 13 shall be combined and translated into Chinese as a whole"
1.0,11.0,"00:00:42,280 --> 00:00:45,280","lies ahead, and you'll feel comfortable with the team that's here to support",前方還有許多事情等著您，您將能與前來提供支持的團隊相處得十分融洽。,55.0,80.0,"Segment 11,12 and 13 shall be combined and translated into Chinese as a whole"
1.0,12.0,"00:00:45,346 --> 00:00:47,480",you every step of the way. Sound good?,我們將全程為您提供支援。這樣可以嗎？,55.0,80.0,The complete translation may be:我希望在課程結束時，大家能對接下來的學習內容有非常清晰的了解，並對這個將在每個階段支持各位的團隊感到安心。聽起來不錯吧？
1.0,13.0,"00:00:47,760 --> 00:00:48,920","All right, let's dive in.",好的，我們開始吧。,90.0,90.0,Translation is very good
1.0,14.0,"00:00:52,880 --> 00:00:57,040",So this Basic Grammar course is a key part of Prep's foundational series.,因此，Basic Grammar 課程是 Prep 基礎系列的重要組成部分。,80.0,83.0,The readability is relatively good. Basic Grammar should be translated
1.0,15.0,"00:00:57,480 --> 00:01:01,414","We've also got Basic Vocabulary, and together, these courses are designed",我們也提供 Basic Vocabulary 課程，這些課程是共同設計的,40.0,80.0,"Segment 16,17 and 18 shall be combined and translated into Chinese as a whole
 "
1.0,18.0,"00:01:11,640 --> 00:01:15,094","truly understand, and confidently use some of the most common parts",真正理解，並自信地使用一些最常見的用法,40.0,80.0,"However, there seems to be some missing words between ""designed"" and ""truly"" in souce text"
1.0,19.0,"00:01:15,160 --> 00:01:16,080",of speech in English.,English 的詞性。,40.0,70.0,The complete translate may be:我們還開設了「基礎詞彙」課程，這兩門課程旨在幫助您真正理解並自信地運用英語中最常見的詞性
1.0,20.0,"00:01:17,600 --> 00:01:21,040","Get you completely comfortable with basic English sentence structure,",讓你完全熟悉基本的英文句子結構，,70.0,80.0,"Segment 19,20 and 21 shall be combined and translated into chinese as a whole
 "
1.0,21.0,"00:01:21,240 --> 00:01:24,014","how sentences are put together, and the different types",句子的組成方式，以及不同的句型,70.0,80.0,"Segment 19,20 and 21 shall be combined and translated into chinese as a whole
 "
1.0,22.0,"00:01:24,080 --> 00:01:25,440",of sentences you'll encounter.,你將會遇到的 sentences。,70.0,65.0,The complete translate may be:讓你完全熟悉基本的英語句子結構、句子的組成方式，以及你將會遇到的各種句型。
1.0,23.0,"00:01:26,360 --> 00:01:29,800","Help you master the simple tenses, past, present, and future.",幫助您掌握簡單時態，包括過去式、現在式和未來式。,90.0,90.0,Very good
