draft,lesson,block,timestamp,source,translation,score,verdict,corrected,issues
Draft 1,L1S1,1,"00:00:11,910 --> 00:00:15,350","Welcome, you guys, to our IELTS Intermediate Listening Course.",歡迎大家來到我們的 IELTS 中級聽力課程,100,ok,,
Draft 1,L1S1,2,"00:00:15,810 --> 00:00:19,330","My name is Brandon, and I'll be your instructor for this course.",我的名字是 Brandon，我將會是您這門課程的講師。,100,ok,,
Draft 1,L1S1,3,"00:00:20,150 --> 00:00:24,470","Bruce Lee famously said, I fear not the man who has practiced",李小龍有句名言：「我不怕練過,87,minor_issues,,[low] style: None
Draft 1,L1S1,4,"00:00:24,470 --> 00:00:30,210","10,000 kicks once, but I fear the man who has practiced one kick 10,000 times.",一萬種踢法，但我怕的是把一種踢法練了一萬次的人。」,42,needs_revision,,[high] placeholder: None; [low] style: None
Draft 1,L1S1,5,"00:00:30,910 --> 00:00:36,510","His saying about practicing 10,000 kicks emphasizes the importance of deep",他關於練習一萬次踢法的說法，強調了深入,45,needs_revision,,[high] placeholder: None
Draft 1,L1S1,6,"00:00:36,510 --> 00:00:41,990","practice and repetition, rather than mindlessly going through a large number of techniques.",練習與重複，而不是盲目地學習大量的技巧。,100,ok,,
Draft 1,L1S1,7,"00:00:42,710 --> 00:00:46,630",And this is also true in developing your IELTS listening skills.,這也同樣適用於培養您的 IELTS 聽力技巧,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L1S1,8,"00:00:47,570 --> 00:00:52,510",It's more important to practice and analyze a single listening test multiple,與其匆忙地做許多測驗，不如多次練習,77,minor_issues,,[medium] terminology: None; [low] style: None
Draft 1,L1S1,9,"00:00:52,510 --> 00:00:55,830","times, rather than rushing through many tests.",和分析單一聽力測驗。,87,minor_issues,,[low] style: None
Draft 1,L1S1,10,"00:00:56,490 --> 00:00:59,270",We'll apply this learning method throughout our course.,我們將在整個課程中應用這種學習方法。,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,11,"00:00:59,270 --> 00:01:00,490",Let's go.,我們開始吧。,100,ok,,
Draft 1,L1S1,12,"00:01:04,940 --> 00:01:08,780","In the previous course, you learned important skills for the listening test.",在之前的課程中，您學習了聽力測驗的重要技巧。,87,minor_issues,,[low] style: None
Draft 1,L1S1,13,"00:01:09,420 --> 00:01:14,280","And in this course, we'll focus on practicing thoroughly to master those",而在此課程中，我們將著重於徹底練習,77,minor_issues,,[medium] terminology: None; [low] style: None
Draft 1,L1S1,14,"00:01:14,280 --> 00:01:18,980","skills, and also mastering the strategies for different types of questions.",以掌握這些技巧，並掌握不同題型的策略,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L1S1,15,"00:01:19,660 --> 00:01:24,300","Eager to pick up some useful knowledge to ace the IELTS listening test, aren't you?",是不是很想學習一些實用的知識，讓您在 IELTS 聽力測驗中考高分呢？,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L1S1,16,"00:01:24,640 --> 00:01:29,180","But wait, before you jump into taking the exam, let's make sure",不過，在您急著參加考試之前，讓我們確保我們,87,minor_issues,,[low] style: None
Draft 1,L1S1,17,"00:01:29,180 --> 00:01:34,640",we're well prepared and clear up common misunderstandings about the IELTS listening test.,已充分準備好，並釐清關於 IELTS 聽力測驗的常見誤解。,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,18,"00:01:35,200 --> 00:01:37,420","Let's see what those are, shall we?",讓我們來看看這些是什麼，好嗎？,100,ok,,
Draft 1,L1S1,19,"00:01:38,580 --> 00:01:42,040","First, there are two ways you can choose to take the IELTS",首先，您可以選擇兩種方式參加 IELTS 測驗，分別是 I,87,minor_issues,,[low] style: None
Draft 1,L1S1,20,"00:01:42,040 --> 00:01:45,680","test, IELTS on paper and IELTS on computer.",ELTS 紙筆測驗和 IELTS 電腦測驗,87,minor_issues,,[low] style: None
Draft 1,L1S1,21,"00:01:46,380 --> 00:01:49,940","For paper-based IELTS, the test lasts for a total of 40",針對紙筆測驗的 IELTS，測驗總長為,45,needs_revision,,[high] placeholder: None
Draft 1,L1S1,22,"00:01:49,940 --> 00:01:56,560","minutes, in which 30 minutes are of listening to the test and 10 minutes of transfer time.",40 分鐘，其中 30 分鐘為聽力測驗，另外 10 分鐘為謄寫時間,100,ok,,
Draft 1,L1S1,23,"00:01:57,280 --> 00:02:01,520","However, for computer-based IELTS, the candidate does not have an extra",不過，針對電腦測驗的 IELTS，考生沒有額外的,100,ok,,
Draft 1,L1S1,24,"00:02:01,520 --> 00:02:07,900","10 minutes for transfer time, but enters answers directly on the screen while listening to the test.",10 分鐘謄寫時間，而是直接在聽測驗時於螢幕上輸入答案,70,minor_issues,,[medium] terminology: None; [medium] terminology: None; [low] style: None
Draft 1,L1S1,25,"00:02:08,400 --> 00:02:10,620",The IELTS listening has four parts.,IELTS 聽力測驗有四個部分。,100,ok,,
Draft 1,L1S1,26,"00:02:11,480 --> 00:02:16,920","Part 1, such as conversations between a hotel receptionist and a customer, etc.",第一部分，例如飯店接待員與顧客之間的對話等等。,32,needs_revision,,[low] style: None; [medium] terminology: None; [high] placeholder: None
Draft 1,L1S1,27,"00:02:17,440 --> 00:02:20,480","Part 2, a talk by one person, also known as a monologue,",第二部分，由一人發表的談話，也稱為獨白，,32,needs_revision,,[low] style: None; [medium] terminology: None; [high] placeholder: None
Draft 1,L1S1,28,"00:02:20,920 --> 00:02:27,500","set in an everyday social context, such as a speech about a local family, etc.",內容設定在日常社交情境中，例如關於當地家庭的演講等等。,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,29,"00:02:28,340 --> 00:02:35,280","Part 3, a conversation between two or four people, set in an educational or training context.",第三部分，兩人或四人之間的對話，內容設定在教育或訓練情境中,42,needs_revision,,[low] style: None; [high] placeholder: None
Draft 1,L1S1,30,"00:02:36,020 --> 00:02:40,240","Part 4, a talk by one person, also known as a monologue,",第四部分，由一人發表的談話，也稱為獨白，,30,needs_revision,,[low] style: None; [medium] terminology: None; [high] placeholder: None; [low] style: None
Draft 1,L1S1,31,"00:02:40,600 --> 00:02:45,840","on an academic subject, for example a university lecture, etc.",學術主題，例如大學講座等,35,needs_revision,,[medium] terminology: None; [high] meaning_drift: None
Draft 1,L1S1,32,"00:02:46,480 --> 00:02:49,680",You'll take the first three parts of the test in the following,您將依序進行測驗的前三個部分：聽,87,minor_issues,,[low] style: None
Draft 1,L1S1,33,"00:02:49,680 --> 00:02:55,820","order, listening, reading and writing, and then there are no breaks between those tests.",力、閱讀和寫作，而且這些測驗之間沒有休息時間。,30,needs_revision,聽力、閱讀和寫作，而且這些測驗之間沒有休息時間。,[low] style: None; [low] style: None; [medium] terminology: None; [high] meaning_drift: None
Draft 1,L1S1,34,"00:02:56,760 --> 00:02:59,520",Candidates will have time to read the questions before listening.,考生將有時間在聽力測驗之前閱讀題目,77,minor_issues,,[low] style: None; [medium] terminology: None
Draft 1,L1S1,35,"00:03:00,340 --> 00:03:06,140",Try to use this time wisely to read the questions and underlying keywords before listening.,並善用這段時間在聽力測驗前閱讀題目和關鍵字。,77,minor_issues,,[medium] terminology: None; [low] style: None
Draft 1,L1S1,36,"00:03:06,840 --> 00:03:12,960","Candidates will only hear each recording once only, so try to stay focused while listening.",考生每段錄音只會播放一次，因此請務必專心聆聽。,70,minor_issues,考生每段錄音只會聽到一次，因此請務必專心聆聽。,[medium] terminology: None; [medium] terminology: None; [low] style: None
Draft 1,L1S1,37,"00:03:14,240 --> 00:03:19,380","IELTS is an international test, so you might hear a range of different accents,",IELTS 是國際測驗，因此您可能會聽到各種不同的口音，包含 British Englis,45,needs_revision,,[high] meaning_drift: None
Draft 1,L1S1,38,"00:03:19,380 --> 00:03:24,460","including British English, American English, Australian English, etc.",h、American English、Australian English 等,87,minor_issues,,[low] style: None
Draft 1,L1S1,39,"00:03:25,380 --> 00:03:30,780","Candidates won't be provided with paper for note-taking, so you can note directly on the test paper.",考生不會拿到筆記用紙，因此您可以直接在試卷上做筆記。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L1S1,40,"00:03:31,680 --> 00:03:36,380",There are no rules stating whether you should write your answers in capital or smaller letters.,沒有規定您應該用大寫或小寫字母來書寫答案,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
Draft 1,L1S1,41,"00:03:36,900 --> 00:03:41,580","However, I recommend writing your answers in capital letters to ensure clarity",不過，我會建議您將答案寫成大寫，以確保閱,77,minor_issues,不過，我會建議您將答案寫成大寫，以確保清楚,[medium] terminology: None; [low] style: None
Draft 1,L1S1,42,"00:03:41,580 --> 00:03:46,180",for the examiner and reduce the chances of misinterpretation.,卷者清楚明瞭，並降低誤判的可能性,84,minor_issues,,[low] style: None; [low] style: None
Draft 1,L1S1,43,"00:03:46,600 --> 00:03:52,740","To achieve a Band 6 in IELTS Listening, you'll have to answer 23 to 25 questions correctly.",為了在 IELTS Listening 達到 Band 6，您必須答對 23 到 25 題,70,minor_issues,為了在 IELTS 聽力 達到 Band 6，您必須答對 23 到 25 題,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None
Draft 1,L1S1,44,"00:03:53,380 --> 00:03:55,840",Are you clear about IELTS Listening tests now?,您現在對 IELTS Listening 測驗清楚了嗎？,100,ok,,
Draft 1,L1S1,45,"00:03:56,380 --> 00:04:00,600","Before continuing this course, make sure you've got the hang of the",在繼續本課程之前，請確保您已經掌握了,84,minor_issues,,[low] style: None; [low] style: None
Draft 1,L1S1,46,"00:04:00,600 --> 00:04:05,220","listening skills that we learned in the previous course, including keyword",我們在之前的課程中學到的聽力技巧，包括 keyword identification、prediction bas,84,minor_issues,,[low] style: None; [low] style: None
Draft 1,L1S1,47,"00:04:05,220 --> 00:04:10,680","identification, prediction based on vocabulary groups, prediction based on",ed on vocabulary groups、prediction based on grammatical c,87,minor_issues,,[low] style: None
Draft 1,L1S1,48,"00:04:10,680 --> 00:04:15,820","grammatical clues, note-taking key information, and signposting language.",lues、note-taking key information，以及 signposting language,70,minor_issues,grammatical clues、note-taking key information，以及 signposting language,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [low] style: None
Draft 1,L1S1,49,"00:04:20,510 --> 00:04:23,240","So we know the rules, but what is the target?",那麼我們知道規則了，但是目標是什麼？,100,ok,,
Draft 1,L1S1,50,"00:04:24,040 --> 00:04:25,380",Look at the table on the left.,請看左側的表格。,100,ok,,
Draft 1,L1S1,51,"00:04:25,780 --> 00:04:30,020","Note that this table is for reference only, as scores can vary slightly.",請注意，這份表格僅供參考，因為分數可能會有些許差異。,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,52,"00:04:30,840 --> 00:04:39,160","But generally, to achieve a Band 6.0 in IELTS Listening, you need to answer at least 23 questions correctly out of 40.",不過一般而言，若想在雅思聽力中達到6.0分，您需要40題中至少答對23題,70,minor_issues,,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [medium] terminology: None
Draft 1,L1S1,53,"00:04:39,960 --> 00:04:42,280","Keep that number in your head, 23.",記住這個數字，23,45,needs_revision,記住這個數位，23,[high] terminology: None
Draft 1,L1S1,54,"00:04:43,040 --> 00:04:45,600",So how do we get to 23 correct answers?,那麼我們該如何答對23題呢？,80,minor_issues,,[medium] terminology: None
Draft 1,L1S1,55,"00:04:46,360 --> 00:04:48,300",You don't need to be perfect everywhere.,您不需要面面俱到,100,ok,,
Draft 1,L1S1,56,"00:04:48,960 --> 00:04:55,860","The strategy is to maximize your score in Sections 1 and 2, which are generally easier social contexts.",策略是盡量提高您在第一部分和第二部分的分數，這通常是比較簡單的社交情境,45,needs_revision,,[high] placeholder: None
Draft 1,L1S1,57,"00:04:56,700 --> 00:05:01,440",Then you fight to pick up the remaining necessary points in Sections 3 and 4.,然後您再努力在第三部分和第四部分取得其餘所需的分數。,42,needs_revision,,[low] style: None; [high] placeholder: None
