block,timestamp,source,translation,score,verdict,corrected,issues
1,"00:00:11,920 --> 00:00:13,480",Imagine you are in the exam.,Bayangkan Anda sedang berada di dalam ujian.,80,minor_issues,,[medium] terminology: None
2,"00:00:13,740 --> 00:00:16,920","You see the question, the museum is located near the river.","Anda melihat pertanyaannya, museum tersebut terletak di dekat sungai.",80,minor_issues,,[medium] terminology: None
3,"00:00:17,160 --> 00:00:21,120","You sit there waiting to hear the word located, but the speaker never says it.","Anda duduk di sana menunggu untuk mendengar kata located, tetapi pembicara tidak pernah mengucapkannya.",42,needs_revision,"Anda duduk di sana menunggu untuk mendengar kata lokasi, tetapi pembicara tidak pernah mengucapkannya.",[high] meaning_drift: None; [low] terminology: None
4,"00:00:21,340 --> 00:00:24,660","Instead, they say, you can find the museum right next to the river.","Sebaliknya, mereka mengatakan, Anda dapat menemukan museum located tepat di sebelah river.",32,needs_revision,"Sebaliknya, mereka mengatakan, Anda dapat menemukan museum terletak tepat di sebelah sungai.",[medium] terminology: None; [low] grammar: None; [high] meaning_drift: None
5,"00:00:24,840 --> 00:00:29,500","Because you were waiting for the exact word, you missed the answer.","Karena Anda terus menunggu kata yang tepat, Anda melewatkan jawabannya.",100,ok,,
6,"00:00:29,940 --> 00:00:32,580",This is the number one mistake in IELTS listening.,Ini adalah kesalahan nomor satu dalam tes listening IELTS.,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
7,"00:00:32,580 --> 00:00:34,020",Word matching.,Perangkaian kata.,45,needs_revision,Pencocokan kata.,[high] meaning_drift: None
8,"00:00:34,400 --> 00:00:37,760",IELTS rarely repeats the exact words from the question.,IELTS jarang mengulang kata-kata yang persis sama dari pertanyaan.,80,minor_issues,,[medium] terminology: None
9,"00:00:38,000 --> 00:00:42,060","Instead, they use paraphrasing, expressing the same meaning using different words.","Sebaliknya, mereka menggunakan parafrasa, menyatakan makna yang sama dengan kata-kata yang berbeda.",100,ok,,
10,"00:00:42,620 --> 00:00:46,660","To get a high band score, you must stop listening for words and start listening for meaning.","Untuk mendapatkan skor band tinggi, Anda harus berhenti mendengarkan kata-kata dan mulai mendengarkan makna.",87,minor_issues,"Untuk mendapatkan skor grup musik tinggi, Anda harus berhenti mendengarkan kata-kata dan mulai mendengarkan makna.",[low] style: None
11,"00:00:51,650 --> 00:00:54,490",There are three main types of paraphrasing you need to know.,Ada tiga jenis utama parafrasa yang perlu Anda ketahui.,100,ok,,
12,"00:00:54,650 --> 00:00:56,950",The first and most common is synonyms.,Yang pertama dan paling umum adalah synonyms.,80,minor_issues,,[medium] terminology: None
13,"00:00:57,110 --> 00:01:01,690",This is where the test replaces a keyword with a word that has the exact same meaning.,Inilah saat di mana tes mengganti kata kunci dengan kata yang memiliki arti yang persis sama.,80,minor_issues,,[medium] terminology: None
14,"00:01:01,890 --> 00:01:06,510","For example, in a form completion task, the question asks for the cost of entry.","Sebagai contoh, dalam tugas pengisian formulir, pertanyaan meminta biaya entri.",77,minor_issues,"Sebagai contoh, dalam tugas pengisian formulir, pertanyaan meminta biaya masuk.",[medium] terminology: None; [low] collocation: None
15,"00:01:06,870 --> 00:01:14,330","But on the recording, you might hear, the price is $50, or the fee is $50, or maybe even you have to pay $50.","Namun dalam rekaman, Anda mungkin mendengar, ""harga adalah $50"", atau ""biaya adalah $50"", atau mungkin bahkan ""Anda harus membayar $50"".",80,minor_issues,,[medium] terminology: None
16,"00:01:14,950 --> 00:01:17,290",All of these are synonyms for cost.,Semua ini adalah sinonim untuk cost.,87,minor_issues,Semua ini adalah sinonim untuk biaya.,[low] terminology: None
17,"00:01:18,530 --> 00:01:20,330",Let's practice this immediately.,Mari kita berlatih ini segera.,87,minor_issues,Mari kita berlatih segera.,[low] collocation: None
18,"00:01:20,630 --> 00:01:23,230",I'm going to show you four common IELTS keywords.,Saya akan menunjukkan kepada Anda empat kata kunci IELTS yang umum.,100,ok,,
19,"00:01:23,490 --> 00:01:26,970",Can you match them to the synonyms you are likely to hear in the recording?,Bisakah Anda mencocokkannya dengan synonyms yang mungkin Anda dengar dalam rekaman?,70,minor_issues,Bisakah Anda mencocokkannya dengan sinonim yang mungkin Anda dengar dalam rekaman?,[medium] terminology: None; [medium] terminology: None; [low] language: None
20,"00:01:31,790 --> 00:01:32,710",Great job.,Kerja bagus.,100,ok,,
21,"00:01:33,010 --> 00:01:35,850","Now, let's move to type two, grammatical changes.","Sekarang, mari kita lanjut ke jenis kedua: perubahan grammatical changes.",45,needs_revision,"Sekarang, mari kita lanjut ke jenis kedua: perubahan tata bahasa.",[high] meaning_drift: None
22,"00:01:36,130 --> 00:01:39,870","Sometimes the question paper uses one part of speech, like a noun,","Terkadang, soal ujian menggunakan satu bagian dari wicara, seperti noun, namun",70,minor_issues,"Terkadang, lembar soal menggunakan satu kelas kata, seperti kata benda, namun",[medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [low] style: None; [low] style: None
23,"00:01:40,030 --> 00:01:42,350","but the speaker uses a different one, like a verb.","pembicara menggunakan bagian yang berbeda, seperti verb.",77,minor_issues,"pembicara menggunakan bagian yang berbeda, seperti kata kerja.",[medium] terminology: None; [low] style: None
24,"00:01:42,530 --> 00:01:45,650","If you are only listening for the noun, you might miss the answer entirely.","Jika Anda hanya mendengarkan kata benda, Anda mungkin akan sepenuhnya melewatkan jawabannya.",80,minor_issues,,[medium] terminology: None
25,"00:01:45,910 --> 00:01:49,270","You have to listen for the meaning, not just the grammar.","Anda harus mendengarkan makna, bukan hanya jalan bahasa.",35,needs_revision,"Anda harus mendengarkan makna, bukan hanya tata bahasa.",[medium] terminology: None; [high] meaning_drift: None
26,"00:01:49,510 --> 00:01:50,870","For example, look at this question.","Sebagai contoh, perhatikan pertanyaan ini.",80,minor_issues,,[medium] terminology: None
27,"00:01:51,050 --> 00:01:53,630",It asks for the cost of something.,Soal ini meminta biaya untuk sesuatu.,45,needs_revision,,[high] meaning_drift: None
28,"00:01:53,890 --> 00:01:57,330","You are expecting to hear a noun, like construction, but the speaker","Anda mengharapkan mendengar kata benda, seperti construction, tetapi pembicara mungkin tidak",77,minor_issues,"Kamu mengharapkan mendengar kata benda, seperti construction, tetapi pembicara mungkin tidak",[medium] terminology: None; [low] register: None
29,"00:01:57,330 --> 00:01:59,470","might not use the noun, construction.","menggunakan kata benda tersebut, construction.",77,minor_issues,"menggunakan kata benda tersebut, konstruksi.",[critical] meaning_drift: None; [low] terminology: None
30,"00:02:00,230 --> 00:02:02,450","They might use the verb, constructed.","Mereka mungkin menggunakan kata kerja, constructed.",100,ok,,
31,"00:02:03,150 --> 00:02:06,550","They might say, it was constructed for $2 million.","Mereka mungkin mengatakan, it was constructed for $2 million.",45,needs_revision,"Mereka mungkin mengatakan, dibangun dengan biaya $2 juta.",[high] meaning_drift: None
32,"00:02:07,509 --> 00:02:08,190",Did you hear that?,Apakah Anda mendengarnya?,100,ok,,
33,"00:02:08,729 --> 00:02:14,630","The question said, construction, noun, but the speaker said, constructed, verb.","Soal tersebut menyebutkan construction, kata benda, tetapi pembicara mengatakan constructed, kata kerja.",80,minor_issues,,[medium] terminology: None
34,"00:02:15,250 --> 00:02:17,830","If you were waiting for the word construction, you missed it.","Jika Anda menunggu kata construction, Anda melewatkannya.",87,minor_issues,"Jika Anda menunggu kata konstruksi, Anda melewatkannya.",[low] terminology: None
35,"00:02:18,070 --> 00:02:21,570",This tests your ability to match the verb you hear to the noun on the page.,Ini menguji kemampuan Anda untuk mencocokkan kata kerja yang Anda dengar dengan kata benda pada halaman.,100,ok,,
36,"00:02:26,850 --> 00:02:29,810","The third type is the most difficult, rephrasing.","Jenis ketiga adalah yang paling sulit, rephrasing.",100,ok,,
37,"00:02:29,810 --> 00:02:32,950",This is where the speaker doesn't use a synonym or a grammar,Ini adalah tempat di mana pembicara tidak menggunakan sinonim atau perubahan,45,needs_revision,Ini adalah tempat di mana pembicara tidak menggunakan sinonim atau tata bahasa,[high] meaning_drift: None
38,"00:02:32,950 --> 00:02:36,790","change, but describes the idea or the situation completely differently.","jalan bahasa, melainkan menggambarkan ide atau situasi tersebut secara sepenuhnya berbeda.",45,needs_revision,"tetapi, melainkan menggambarkan ide atau situasi tersebut secara sepenuhnya berbeda.",[high] meaning_drift: None
39,"00:02:37,050 --> 00:02:40,310",They often move from specific examples to general categories.,Mereka sering beralih dari contoh-contoh spesifik ke kategori-kategori umum,100,ok,,
40,"00:02:40,550 --> 00:02:44,090","For instance, you might see a multiple-choice answer option that says bad weather.","misalnya, Anda mungkin melihat opsi jawaban pilihan ganda yang menyatakan bad weather",42,needs_revision,"misalnya, Anda mungkin melihat opsi jawaban pilihan ganda yang menyatakan bad cuaca",[low] style: None; [high] meaning_drift: None
41,"00:02:44,350 --> 00:02:46,910",You will almost never hear the words bad weather in the recording.,Anda hampir tidak akan pernah mendengar frasa bad weather dalam rekaman.,84,minor_issues,Anda hampir tidak akan pernah mendengar kata bad cuaca dalam rekaman.,[low] style: None; [low] collocation: None
42,"00:02:47,130 --> 00:02:50,350","Instead, you might hear, we couldn't take off due to the heavy fog and snow.","Sebaliknya, Anda mungkin mendengar: kami tidak dapat lepas landas karena kabut dan salju yang tebal.",100,ok,,
43,"00:02:50,570 --> 00:02:55,390","Here, fog and snow are specific examples of the general category, bad weather.","Di sini, fog dan snow adalah contoh spesifik dari kategori umum, bad weather.",78,minor_issues,"Di sini, kabut dan salju adalah contoh spesifik dari kategori umum, bad cuaca.",[low] style: None; [low] terminology: None; [low] terminology: None; [low] terminology: None
44,"00:03:00,480 --> 00:03:04,860","So, to maximize your listening score, you need to stop acting like","Jadi, untuk memaksimalkan skor mendengarkan Anda, Anda perlu berhenti bertindak seperti",100,ok,,
45,"00:03:04,860 --> 00:03:09,140",a robot matching words and start thinking like a translator matching meanings.,robot yang mencocokkan kata-kata dan mulai berpikir seperti penerjemah yang mencocokkan makna.,87,minor_issues,,[low] style: None
46,"00:03:09,360 --> 00:03:14,500","Remember the three levels of paraphrasing we just covered, synonyms, grammar, and rephrasing.","Ingatlah tiga tingkat parafrase yang baru saja kita bahas: synonyms, grammar, dan rephrasing.",100,ok,,
47,"00:03:14,680 --> 00:03:20,140","With lots of training, you can learn to recognize paraphrase like a pro and improve your IELTS band score.","Dengan banyak latihan, Anda dapat belajar mengenali parafrase seperti seorang profesional dan meningkatkan skor band IELTS Anda.",87,minor_issues,"Dengan banyak latihan, Anda dapat belajar mengenali parafrase seperti seorang profesional dan meningkatkan skor grup musik IELTS Anda.",[low] style: None
