file,block,type,detail,text
zhTW_L10S2_revised.srt,10,vocab_violation,"""瞭解"" → 了解",本課程旨在協助您瞭解 IELTS 閱讀測驗中圖表填空題的形式。
zhTW_L10S2_revised.srt,25,vocab_violation,"""詞彙"" → 字彙",特徵二：答案為取自閱讀文章的詞彙。
zhTW_L10S2_revised.srt,26,vocab_violation,"""詞彙"" → 字彙",必須寫下精確的詞彙，因此不要更動或改寫。
zhTW_L10S2_revised.srt,29,vocab_violation,"""詞彙"" → 字彙",特徵五：包含答案的段落通常會包含一些描述性詞彙，例如顯 示圖表部分或元件的詞彙、表示位置的介系詞，如 below
zhTW_L10S2_revised.srt,39,vocab_violation,"""詞彙"" → 字彙",部分，也難以掌握主要概念，進而導致 無法選取合適的詞彙填入空白處。
zhTW_L10S2_revised.srt,43,vocab_violation,"""詞彙"" → 字彙",找出包含標題及所提供資訊中 描述性詞彙或關鍵詞的段落。
zhTW_L10S2_revised.srt,51,vocab_violation,"""詞彙"" → 字彙",辨識標題及已知資訊中的掃描詞彙。
zhTW_L10S2_revised.srt,56,vocab_violation,"""詞彙"" → 字彙",因此，你應該著重於辨識掃描詞彙以 定位資訊，然後再與問題進行比較。
zhTW_L10S2_revised.srt,64,vocab_violation,"""詞彙"" → 字彙",套用特徵 5。包含答案的段落通常會包含一些描述性詞彙，例如顯示圖表部
zhTW_L10S2_revised.srt,65,cross_block_split,"""b"" → block 66 starts ""below、穿過、之間， 等等，順序詞，""",部分或元件的詞彙，例如 b
zhTW_L10S2_revised.srt,65,trailing_fragment,"ends with ""b""",部分或元件的詞彙，例如 b
zhTW_L10S2_revised.srt,65,vocab_violation,"""詞彙"" → 字彙",部分或元件的詞彙，例如 b
zhTW_L10S2_revised.srt,126,cross_block_split,"""the"" → block 127 starts ""outer body protects """,繼續掃描該段落的其餘部分，Scanning further down that same paragraph，the text mentions that the
zhTW_L10S2_revised.srt,126,trailing_fragment,"ends with ""the""",繼續掃描該段落的其餘部分，Scanning further down that same paragraph，the text mentions that the
zhTW_L10S2_revised.srt,126,untranslated_english,"""Scanning further down that same paragraph""",繼續掃描該段落的其餘部分，Scanning further down that same paragraph，the text mentions that the
zhTW_L10S2_revised.srt,145,vocab_violation,"""堂課"" → 單元",在這堂課中，我們學習了圖表補齊的特點、三個常見問題
zhTW_L10S2_revised.srt,148,vocab_violation,"""堂課"" → 單元",希望您喜歡這堂課。
zhTW_L12S2_revised.srt,25,vocab_violation,"""詞彙"" → 字彙",反義詞與閱讀文章中的詞彙意思相反，或 b-同義詞意思相同但拼寫不同
zhTW_L12S2_revised.srt,25,vocab_violation,"""同義詞"" → 同義字",反義詞與閱讀文章中的詞彙意思相反，或 b-同義詞意思相同但拼寫不同
zhTW_L12S2_revised.srt,27,vocab_violation,"""瞭解"" → 了解",此外，您需要瞭解這種題型通常會包含干擾選項。
zhTW_L12S2_revised.srt,28,vocab_violation,"""瞭解"" → 了解",因此，我們已經瞭解了摘要填空題型的特徵以及兩類摘要填空題型。
zhTW_L12S2_revised.srt,32,vocab_violation,"""堂課"" → 單元",所以，在這堂課中，我會更專注於這兩個步驟。
zhTW_L12S2_revised.srt,56,vocab_violation,"""同義詞"" → 同義字",在文章中尋找這些關鍵字或它們的同義詞。
zhTW_L12S2_revised.srt,59,vocab_violation,"""同義詞"" → 同義字",我們也找到 associated with，它是 linked to 的同義詞。
zhTW_L12S2_revised.srt,60,vocab_violation,"""同義詞"" → 同義字",在第三段中，我們找到了 強化，它是 reinforce 的同義詞。
zhTW_L12S2_revised.srt,64,untranslated_english,"""rather than being seen as an art form""",這個語境也暗示了負面的含義，因為該片語是「rather than being seen as an art form」，而非被視為一種藝術形式。
zhTW_L12S2_revised.srt,71,vocab_violation,"""同義詞"" → 同義字",過去，matches 是 is 的同義詞，且與 linked to 同義。
zhTW_L12S2_revised.srt,83,vocab_violation,"""詞彙"" → 字彙",我們已成功掌握該策略。 無需詞彙表即可完成摘要填補。
zhTW_L12S2_revised.srt,90,vocab_violation,"""同義詞"" → 同義字",第五步，使用關鍵字和同義詞掃描以獲取特定資訊。
zhTW_L12S2_revised.srt,92,vocab_violation,"""同義詞"" → 同義字",記住，解題的關鍵在於識別同義詞與改寫。
zhTW_L12S2_revised.srt,93,vocab_violation,"""詞彙"" → 字彙",持續練習這些步驟，我們下一堂課再見， 屆時我們將使用詞彙清單進行摘要填空。
zhTW_L12S2_revised.srt,93,vocab_violation,"""堂課"" → 單元",持續練習這些步驟，我們下一堂課再見， 屆時我們將使用詞彙清單進行摘要填空。
zhTW_L12S4_revised.srt,2,vocab_violation,"""詞彙"" → 字彙",在這支影片的第二部分中，我們將檢視使用詞彙清單
zhTW_L12S4_revised.srt,9,vocab_violation,"""詞彙"" → 字彙",步驟 6：在文章中尋找必要的資訊並進行比較 並從詞彙清單中選擇對應的答案。
zhTW_L12S4_revised.srt,11,vocab_violation,"""詞彙"" → 字彙",沒有詞彙清單的摘要填空題型產生差異？
zhTW_L12S4_revised.srt,14,vocab_violation,"""詞彙"" → 字彙",文章中的詞彙或片語
zhTW_L12S4_revised.srt,15,vocab_violation,"""詞彙"" → 字彙",相反地，我們從詞彙清單中進行選擇。
zhTW_L12S4_revised.srt,17,vocab_violation,"""同義詞"" → 同義字",從文章，或是反義詞或同義詞。
zhTW_L12S4_revised.srt,23,vocab_violation,"""詞彙"" → 字彙",題目要求是：使用 A 至 J 的詞彙清單完成摘要。
zhTW_L12S4_revised.srt,24,vocab_violation,"""詞彙"" → 字彙",所以這肯定是摘要填空題，並附有詞彙清單。
zhTW_L12S4_revised.srt,27,vocab_violation,"""詞彙"" → 字彙",快速瀏覽摘要後，我們可以看到有七個空白處，但詞彙清單中卻有十個單字。
zhTW_L12S4_revised.srt,28,vocab_violation,"""詞彙"" → 字彙",詞彙清單中有三個干擾選項。
zhTW_L12S4_revised.srt,48,leading_comma,"starts with ""，""",，例如環境與世界和平。
zhTW_L12S4_revised.srt,51,vocab_violation,"""詞彙"" → 字彙",從語意上來看，由於範例涉及環境與和平，因此缺失的詞彙
zhTW_L12S4_revised.srt,61,vocab_violation,"""同義詞"" → 同義字",這裡，concerns 是 issues 的同義詞，而文章使用的是特定的
zhTW_L12S4_revised.srt,69,vocab_violation,"""同義詞"" → 同義字",記得找出同義詞，並從方框中選出正確的字母。
zhTW_L12S4_revised.srt,74,vocab_violation,"""詞彙"" → 字彙",在詞彙表中，「I」是形容某事物
zhTW_L12S4_revised.srt,107,vocab_violation,"""詞彙"" → 字彙",根據詞彙形式、文法、語意以及語境，
zhTW_L12S4_revised.srt,109,vocab_violation,"""詞彙"" → 字彙",針對有詞彙表的摘要題，要填入的詞彙或片語必須
zhTW_L12S4_revised.srt,110,vocab_violation,"""同義詞"" → 同義字",直接出自文章、是文章中詞 彙的同義詞或反義詞。
zhTW_L12S4_revised.srt,115,vocab_violation,"""堂課"" → 單元",下一堂課見。
zhTW_L14S2_revised.srt,20,vocab_violation,"""詞彙"" → 字彙",例如，答案的詞彙形式為何？
zhTW_L14S2_revised.srt,83,vocab_violation,"""同義詞"" → 同義字",是『輕度焦慮』的同義詞。
zhTW_L14S2_revised.srt,92,vocab_violation,"""同義詞"" → 同義字",少量的焦慮是 輕度焦慮 的同義詞。
zhTW_L14S2_revised.srt,110,vocab_violation,"""詞彙"" → 字彙",在第四段的第二句話中，您可以找到確切的詞彙 phenom
zhTW_L14S2_revised.srt,122,vocab_violation,"""堂課"" → 單元",又一堂課，又攻克了一種題型。
zhTW_L14S2_revised.srt,129,vocab_violation,"""堂課"" → 單元",那麼，我們下一堂課見，再見。
zhTW_L16S2_revised.srt,4,vocab_violation,"""瞭解"" → 了解",本課程旨在協助您瞭解段落標題配對的一些特點，
zhTW_L16S2_revised.srt,5,vocab_violation,"""瞭解"" → 了解",選擇一種有效的段落標題配對方法， 瞭解並套用段落標題配對的步驟。
