block,timestamp,source,translation,score,verdict,corrected,issues
1,"00:00:16,070 --> 00:00:20,570",Thank you for coming back to the second part of the lesson on summary completion.,感謝您回來繼續學習摘 要填空課程的第二部分。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [low] style: None
2,"00:00:21,190 --> 00:00:24,830","In this second video, we're going to see whether the steps for summary",在這支影片的第二部分中，我們將檢視使用詞彙列表,30,needs_revision,在這支影片的第二部分中，我們將檢視使用詞彙清單,[high] terminology: None; [medium] terminology: None; [medium] terminology: None; [high] meaning_drift: None
3,"00:00:24,830 --> 00:00:30,730",completion with a word list is different from those of summary completion without a word list.,的摘要填空步驟，是否與不使用詞 彙列表的摘要填空步驟有所不同。,30,needs_revision,的摘要填空步驟，是否與不使用詞 彙清單的摘要填空步驟有所不同。,[high] terminology: None; [medium] terminology: None; [high] meaning_drift: None; [low] typo: None
4,"00:00:31,650 --> 00:00:35,510",Step 1. Read the question's requirement carefully.,步驟一：仔細閱讀題目的要求。,35,needs_revision,,[medium] terminology: None; [high] placeholder: None
5,"00:00:36,710 --> 00:00:40,570",Step 2. Apply skimming skills to read the summary quickly.,步驟 2。運用略讀 技巧快速閱讀摘要。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
6,"00:00:42,250 --> 00:00:48,770",Step 3. Apply scanning skills to the first and last sentence of the summary to locate its area.,步驟三：運用掃描技巧於摘要的第 一句與最後一句，以定位其範圍。,30,needs_revision,,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [high] placeholder: None
7,"00:00:49,870 --> 00:00:54,090",Step 4. Read each question carefully and predict the answer.,步驟 4：仔細閱讀 每個問題並預測答案。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
8,"00:00:55,070 --> 00:00:59,610",Step 5. Apply scanning skills to locate the information of each question.,步驟 5：運用掃描技 巧來定位每個問題的資訊。,70,minor_issues,步驟 5：運用掃描技巧來定位每個問題的資訊。,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [low] typo: None
9,"00:01:00,470 --> 00:01:07,890","Step 6. Find necessary information in the passage, compare and choose the corresponding answer in the word list.",步驟 6：在文章中尋找必要的資訊並進行比較 並從詞彙列表中選擇對應的答案。,30,needs_revision,步驟 6：在文章中尋找必要的資訊並進行比較 並從詞彙清單中選擇對應的答案。,[high] terminology: None; [medium] terminology: None; [medium] terminology: None
10,"00:01:09,150 --> 00:01:13,090","In your opinion, what is the step that makes the difference between this type",在您看來，哪一個步驟讓這種題型與上一支影片中,45,needs_revision,在您看來，哪一個步驟讓這種題型與此類題型之間,[high] meaning_drift: None
11,"00:01:13,090 --> 00:01:17,150",and summary completion without a word list in the previous video?,沒有詞彙列表的摘要填空題型產生差異？,30,needs_revision,沒有詞彙清單的摘要填空題型產生差異？,[high] terminology: None; [medium] terminology: None; [medium] terminology: None; [high] meaning_drift: None
12,"00:01:17,830 --> 00:01:20,290",Please answer the following interactive question.,請回答以下互動問題。,100,ok,,
13,"00:01:21,370 --> 00:01:26,030","The biggest difference is in step 6, because in this step we do not take",最大的差異在於第 6 步，因為在這一階段我們不會採取,77,minor_issues,最大的差異在於第 6 步，因為在這一步我們不會採取,[medium] terminology: None; [low] terminology: None
14,"00:01:26,030 --> 00:01:28,030",the words or phrases from the passage.,文章中的詞彙或片語,100,ok,,
15,"00:01:28,750 --> 00:01:31,230","Instead, we choose from a word list.",相反地，我們從詞彙清單中進行選擇。,80,minor_issues,,[medium] terminology: None
16,"00:01:32,230 --> 00:01:36,830","As mentioned in the first video, the words in this word list could be taken",如第一段影片所述，此詞彙清單中的詞彙可直接摘,30,needs_revision,如第一段影片所述，此單字列表中的單字可能取自,[medium] terminology: None; [medium] terminology: None; [medium] terminology: None; [high] meaning_drift: None
17,"00:01:36,830 --> 00:01:41,810","directly from the passage, be antonyms or be synonyms.",自文章，也可能是反義詞或同義詞。,81,minor_issues,從文章，或是反義詞或同義詞。,[low] style: None; [low] grammar: None; [low] collocation: None
18,"00:01:42,530 --> 00:01:45,370",So we need to pay more attention to this.,因此，我們需要更加關注這一點。,80,minor_issues,,[medium] terminology: None
19,"00:01:46,870 --> 00:01:52,010","To practice this type, we're going to reuse the passage Street Art Revolution.",為了練習這類型題目，我們將重複使用 Street Art Revolution 這篇文章。,45,needs_revision,為了練習這型別題目，我們將重複使用 Street Art Revolution 這篇文章。,[high] terminology: None
20,"00:01:52,950 --> 00:01:57,910",Steps 1 to 5 of this question type are similar to those of summary completion,這道題型的前五步與沒有詞彙清單的摘要填空（summary com,30,needs_revision,此題型的前五步與摘要填空題類似,[medium] terminology: None; [medium] terminology: None; [high] placeholder: None; [high] meaning_drift: None
21,"00:01:57,910 --> 00:02:02,350","without a word list, so I believe you can do it well.",pletion）相似，我相信你們能做得很好。,35,needs_revision,OK,[medium] terminology: None; [high] meaning_drift: None
