file,block,type,detail,text
zhTW_L2_revised.srt,37,trailing_fragment,"ends with ""IE""",在這四個評核標準中，哪一個最重要且在 IE
zhTW_L2_revised.srt,90,untranslated_english,"""less leisless leisure time""",「less leisless leisure time」這個片語，但並未改寫得準確。
zhTW_L2_revised.srt,96,untranslated_english,"""grammatical range and accuracy""",現在讓我們來看看 Band 5 與 Band 6 在 grammatical range and accuracy 評分標準上的差異。
zhTW_L3S1_revised.srt,29,duplicate_phrase,"""例如，"" repeated",例如，例如，你會比較喜歡搭火車還是公車？
zhTW_L3S1_revised.srt,38,untranslated_english,"""how has something changed""",這些問題包含像 did you、when you were a child 或 how has something changed 這樣的句型？
zhTW_L3S1_revised.srt,41,duplicate_phrase,"""例如，你上學時喜歡運動嗎？"" repeated",例如，你上學時喜歡運動嗎？例如，你上學時喜歡運動嗎？
zhTW_L3S1_revised.srt,60,untranslated_english,"""what are the differences between""",這類題目通常會包含類似「is it better to」或「what are the differences between?」的片語。
zhTW_L3S3_revised.srt,33,duplicate_phrase,"""請注意，"" repeated",請注意，請注意，你應限制比較項目的長度
zhTW_L3S3_revised.srt,48,duplicate_phrase,"""相關的表達"" repeated",此外，除了這些片語，我還會介紹一些用來談論 past 和 pre 相關的表達 相關的表達
zhTW_L3S3_revised.srt,94,leading_comma,"starts with ""，""",，這樣我就能在朋友面前炫耀，贏得他們的讚賞。
zhTW_L3S3_revised.srt,122,leading_comma,"starts with ""，""",，例如咖啡和能量飲料，它們讓我整天都能保持清醒。
zhTW_L4S2_revised.srt,25,untranslated_english,"""abbreviates to impression""",初次看到玩具，因此「abbreviates to impression」簡化為印象。
zhTW_L4S2_revised.srt,44,trailing_fragment,"ends with ""f""",受詞的特徵和功能，因此我們需要回答這個問題：受詞的 f
zhTW_L4S2_revised.srt,63,leading_comma,"starts with ""，""",，有效準備 Speaking 第二部分 的回答。
zhTW_L4S3_revised.srt,17,leading_comma,"starts with ""，""",，它們佔總分的 25%。
zhTW_L5S1_revised.srt,39,leading_comma,"starts with ""，""",，這絕對是你能克服的關卡，以取得更高的分數。
zhTW_L5S1_revised.srt,75,leading_comma,"starts with ""，""",，這部分的測驗重點在於更廣泛的主題和更抽象的概念，與前兩個部分不同。
zhTW_L5S3_revised.srt,53,duplicate_phrase,"""直言不諱"" repeated",其次，我看重那些能直言不諱、直言不諱地指出我的問題
zhTW_L7S1_revised.srt,5,leading_comma,"starts with ""，""",，精準地討論你過去的經驗、目前的習慣以及對未來的預測。
