file,block,type,detail,text
zhTW_L10S2_revised.srt,17,leading_comma,"starts with ""，""",，中間有數個步驟。
zhTW_L10S2_revised.srt,36,cross_block_split,"""s"" → block 37 starts ""seven-step 製造流程。""",碳酸飲料生產出來的，我們看到它描述了一個 s
zhTW_L10S2_revised.srt,36,trailing_fragment,"ends with ""s""",碳酸飲料生產出來的，我們看到它描述了一個 s
zhTW_L10S2_revised.srt,44,leading_comma,"starts with ""，""",，其中水經過過濾以去除雜質。
zhTW_L10S2_revised.srt,70,leading_comma,"starts with ""，""",，並讓我們在事後檢查自己的預測。
zhTW_L10S2_revised.srt,149,simplified_char,"浆→漿, 后→後, 们→們, 将→將, 处→處, 过→過",糖浆準備好后，我们将其与处理过的水混合。
zhTW_L10S2_revised.srt,155,simplified_char,"产→產, 气→氣",接著，我們在高壓下加入二氧化碳，使飲料产生气泡。
zhTW_L10S2_revised.srt,216,cross_block_split,"""fi"" → block 217 starts ""soda drinks，並以 soda """,講者將 碳酸飲料 定義為 fi
zhTW_L10S2_revised.srt,216,trailing_fragment,"ends with ""fi""",講者將 碳酸飲料 定義為 fi
zhTW_L10S2_revised.srt,218,cross_block_split,"""sp"" → block 219 starts ""sparkling water 作為第二""",接著，他使用連結詞 or 來引入 sp
zhTW_L10S2_revised.srt,218,trailing_fragment,"ends with ""sp""",接著，他使用連結詞 or 來引入 sp
zhTW_L10S2_revised.srt,231,duplicate_phrase,"""他明確指出，"" repeated",他明確指出，他明確指出，他們混合這些原料
zhTW_L12S2_revised.srt,157,cross_block_split,"""hi"" → block 158 starts ""ghlight，答案為 mountain""",由於題目要求找出最令人愉快的活動，因此需匹配關鍵字如 best part 或 hi
zhTW_L12S2_revised.srt,157,trailing_fragment,"ends with ""hi""",由於題目要求找出最令人愉快的活動，因此需匹配關鍵字如 best part 或 hi
zhTW_L14S2_revised.srt,25,leading_comma,"starts with ""，""",，你很可能會聽到說話者談論所有選項。
zhTW_L14S2_revised.srt,90,leading_comma,"starts with ""，""",，但表示晶片是被禁止的，或是談論另一種晶片。
zhTW_L14S2_revised.srt,106,trailing_fragment,"ends with ""sem""",常見的改述方式包括 每年兩次 和 sem
zhTW_L14S2_revised.srt,184,leading_comma,"starts with ""，""",，因為電梯無法通往此區域。
