block,timestamp,source,translation,score,verdict,corrected,issues
1,"00:00:11,950 --> 00:00:13,150",Hi Preppies!,嗨，Preppies！,80,minor_issues,,[medium] terminology: None
2,"00:00:13,290 --> 00:00:15,550",I'm back with another exciting lesson.,我回來了，帶來另一堂精彩的課程。,80,minor_issues,,[medium] terminology: None
3,"00:00:16,270 --> 00:00:18,790",Let's start today's lesson with this task.,讓我們以這個任務開始今天的課程。,70,minor_issues,,[medium] terminology: None; [medium] terminology: None
4,"00:00:19,370 --> 00:00:21,210","Alright, have you found the answer?",好了，你找到答案了嗎？,100,ok,,
5,"00:00:22,210 --> 00:00:26,610","From the interactive question, you've just had an experience of handling",透過這個互動式問題，你剛剛體驗了應對的過程。,80,minor_issues,,[medium] terminology: None
6,"00:00:26,610 --> 00:00:29,710",matching information to paragraphs question type.,配對資訊段落題型。,35,needs_revision,matching information to paragraphs 題型,[medium] terminology: None; [high] meaning_drift: None
7,"00:00:30,410 --> 00:00:33,150",Locate paragraphs containing given information.,找出包含指定資訊的段落。,80,minor_issues,,[medium] terminology: None
8,"00:00:33,910 --> 00:00:36,410","In today's lesson, we're going to learn about this.",In today's lesson，我們接下來要來學習這個。,70,minor_issues,今天的課程中，我們接下來要來學習這個。,[medium] terminology: None; [medium] terminology: None
9,"00:00:37,090 --> 00:00:41,950",We will go back to the question at the beginning after understanding steps for this question type.,了解此題型的解題步驟後， 我們將回到開頭的題目。,35,needs_revision,瞭解此題型的解題步驟後， 我們將回到開頭的題目。,[high] terminology: None; [medium] terminology: None
10,"00:00:42,830 --> 00:00:45,010",This lesson has three parts.,本課程分為三個部分。,100,ok,,
11,"00:00:46,530 --> 00:00:51,930",1. Introduction to matching information to paragraphs,1. 配對資 訊至段落介紹,70,minor_issues,1. 配對資訊與段落簡介,[medium] terminology: None; [medium] terminology: None; [low] collocation: None
12,"00:00:52,690 --> 00:00:57,030",2. Steps for matching information to paragraphs,2. 將配對資訊與段落對應的步驟,77,minor_issues,2. 將資訊與段落配對的步驟,[medium] terminology: None; [low] collocation: None
13,"00:00:57,790 --> 00:00:58,250",3. Practice.,3. 練習。,100,ok,,
